Driver_ID,DeRideFair_Seats,DeRide_Seats,Difference,DeRideFair_Deviation,DeRide_Deviation
d1,2,0,-2,-0.3799999999999999,-3.27
d2,5,4,-1,2.62,0.73
d3,3,3,0,0.6200000000000001,-0.27
d4,3,4,1,0.6200000000000001,0.73
d5,1,5,4,-1.38,1.73
d6,1,2,1,-1.38,-1.27
d7,0,3,3,-2.38,-0.27
d8,4,5,1,1.62,1.73
d9,3,2,-1,0.6200000000000001,-1.27
d10,3,1,-2,0.6200000000000001,-2.27
d11,0,2,2,-2.38,-1.27
d12,5,2,-3,2.62,-1.27
d13,4,5,1,1.62,1.73
d14,1,5,4,-1.38,1.73
d15,1,4,3,-1.38,0.73
d16,1,5,4,-1.38,1.73
d17,2,5,3,-0.3799999999999999,1.73
d18,3,2,-1,0.6200000000000001,-1.27
d19,2,5,3,-0.3799999999999999,1.73
d20,2,4,2,-0.3799999999999999,0.73
d21,3,5,2,0.6200000000000001,1.73
d22,1,5,4,-1.38,1.73
d23,2,3,1,-0.3799999999999999,-0.27
d24,2,1,-1,-0.3799999999999999,-2.27
d25,2,2,0,-0.3799999999999999,-1.27
d26,4,3,-1,1.62,-0.27
d27,1,5,4,-1.38,1.73
d28,3,5,2,0.6200000000000001,1.73
d29,3,0,-3,0.6200000000000001,-3.27
d30,0,4,4,-2.38,0.73
d31,3,3,0,0.6200000000000001,-0.27
d32,1,2,1,-1.38,-1.27
d33,0,1,1,-2.38,-2.27
d34,5,3,-2,2.62,-0.27
d35,5,5,0,2.62,1.73
d36,4,3,-1,1.62,-0.27
d37,2,4,2,-0.3799999999999999,0.73
d38,0,4,4,-2.38,0.73
d39,3,3,0,0.6200000000000001,-0.27
d40,2,5,3,-0.3799999999999999,1.73
d41,1,5,4,-1.38,1.73
d42,2,2,0,-0.3799999999999999,-1.27
d43,0,3,3,-2.38,-0.27
d44,5,3,-2,2.62,-0.27
d45,2,2,0,-0.3799999999999999,-1.27
d46,3,0,-3,0.6200000000000001,-3.27
d47,2,4,2,-0.3799999999999999,0.73
d48,3,4,1,0.6200000000000001,0.73
d49,3,1,-2,0.6200000000000001,-2.27
d50,1,2,1,-1.38,-1.27
d51,5,5,0,2.62,1.73
d52,4,2,-2,1.62,-1.27
d53,5,1,-4,2.62,-2.27
d54,4,3,-1,1.62,-0.27
d55,3,5,2,0.6200000000000001,1.73
d56,5,2,-3,2.62,-1.27
d57,0,4,4,-2.38,0.73
d58,1,5,4,-1.38,1.73
d59,0,2,2,-2.38,-1.27
d60,2,4,2,-0.3799999999999999,0.73
d61,2,3,1,-0.3799999999999999,-0.27
d62,2,4,2,-0.3799999999999999,0.73
d63,4,4,0,1.62,0.73
d64,2,4,2,-0.3799999999999999,0.73
d65,2,1,-1,-0.3799999999999999,-2.27
d66,3,5,2,0.6200000000000001,1.73
d67,1,3,2,-1.38,-0.27
d68,4,2,-2,1.62,-1.27
d69,0,0,0,-2.38,-3.27
d70,5,4,-1,2.62,0.73
d71,4,4,0,1.62,0.73
d72,1,0,-1,-1.38,-3.27
d73,0,4,4,-2.38,0.73
d74,4,2,-2,1.62,-1.27
d75,3,4,1,0.6200000000000001,0.73
d76,3,2,-1,0.6200000000000001,-1.27
d77,4,4,0,1.62,0.73
d78,0,3,3,-2.38,-0.27
d79,2,5,3,-0.3799999999999999,1.73
d80,1,1,0,-1.38,-2.27
d81,4,3,-1,1.62,-0.27
d82,3,1,-2,0.6200000000000001,-2.27
d83,2,5,3,-0.3799999999999999,1.73
d84,0,5,5,-2.38,1.73
d85,2,2,0,-0.3799999999999999,-1.27
d86,2,4,2,-0.3799999999999999,0.73
d87,3,5,2,0.6200000000000001,1.73
d88,3,4,1,0.6200000000000001,0.73
d89,4,4,0,1.62,0.73
d90,2,2,0,-0.3799999999999999,-1.27
d91,1,1,0,-1.38,-2.27
d92,3,5,2,0.6200000000000001,1.73
d93,4,5,1,1.62,1.73
d94,3,4,1,0.6200000000000001,0.73
d95,4,3,-1,1.62,-0.27
d96,2,3,1,-0.3799999999999999,-0.27
d97,3,4,1,0.6200000000000001,0.73
d98,2,5,3,-0.3799999999999999,1.73
d99,0,5,5,-2.38,1.73
d100,1,5,4,-1.38,1.73
